Label (Grouping),Puerto Rico!!Total!!Estimate
Total population,"3,529,385"
AGE,
    Under 5 years,183528
    5 to 9 years,204704
    10 to 14 years,229410
    15 to 19 years,250586
    20 to 24 years,254116
    25 to 29 years,225881
    30 to 34 years,218822
    35 to 39 years,222351
    40 to 44 years,225881
    45 to 49 years,229410
    50 to 54 years,232939
    55 to 59 years,218822
    60 to 64 years,215292
    65 to 69 years,197646
    70 to 74 years,155293
    75 to 79 years,112940
    80 to 84 years,74117
    85 years and over,74117
SELECTED AGE CATEGORIES,
    5 to 14 years,12.30%
    15 to 17 years,4.20%
    18 to 24 years,10.10%
    15 to 44 years,39.60%
    16 years and over,81.10%
    18 years and over,78.30%
    60 years and over,23.50%
    62 years and over,21.00%
    65 years and over,17.40%
    75 years and over,7.40%
SUMMARY INDICATORS,
    Median age (years),39.4
    Sex ratio (males per 100 females),91.4
    Age dependency ratio,64.3
    Old-age dependency ratio,28.6
    Child dependency ratio,35.7
PERCENT ALLOCATED,
    Sex,0.10%
    Age,1.50%
