"Label (Grouping)","Puerto Rico!!Total!!Estimate"
"Total population","3,318,447"
"    AGE",""
"        Under 5 years","143,623"
"        5 to 9 years","175,207"
"        10 to 14 years","199,508"
"        15 to 19 years","221,586"
"        20 to 24 years","232,564"
"        25 to 29 years","221,245"
"        30 to 34 years","191,951"
"        35 to 39 years","203,084"
"        40 to 44 years","209,447"
"        45 to 49 years","213,273"
"        50 to 54 years","222,997"
"        55 to 59 years","216,952"
"        60 to 64 years","213,274"
"        65 to 69 years","195,415"
"        70 to 74 years","167,100"
"        75 to 79 years","125,430"
"        80 to 84 years","86,787"
"        85 years and over","79,004"
"    SELECTED AGE CATEGORIES",""
"        5 to 14 years","374,715"
"        15 to 17 years","130,008"
"        Under 18 years","648,346"
"        18 to 24 years","324,142"
"        15 to 44 years","1,279,877"
"        16 years and over","2,759,025"
"        18 years and over","2,670,101"
"        21 years and over","2,528,340"
"        60 years and over","867,010"
"        62 years and over","778,690"
"        65 years and over","653,736"
"        75 years and over","291,221"
"    SUMMARY INDICATORS",""
"        Median age (years)","41.7"
"        Sex ratio (males per 100 females)","90.7"
"        Age dependency ratio","64.6"
"        Old-age dependency ratio","32.4"
"        Child dependency ratio","32.2"
"    PERCENT ALLOCATED",""
"        Sex","(X)"
"        Age","(X)"
