"Label (Grouping)","Puerto Rico!!Total!!Estimate"
"Total population","3,468,963"
"    AGE",""
"        Under 5 years","172,199"
"        5 to 9 years","194,329"
"        10 to 14 years","221,135"
"        15 to 19 years","241,731"
"        20 to 24 years","248,778"
"        25 to 29 years","224,182"
"        30 to 34 years","209,946"
"        35 to 39 years","218,378"
"        40 to 44 years","220,373"
"        45 to 49 years","224,611"
"        50 to 54 years","230,769"
"        55 to 59 years","218,703"
"        60 to 64 years","214,208"
"        65 to 69 years","197,763"
"        70 to 74 years","159,868"
"        75 to 79 years","118,910"
"        80 to 84 years","79,578"
"        85 years and over","73,502"
"    SELECTED AGE CATEGORIES",""
"        5 to 14 years","415,464"
"        15 to 17 years","143,664"
"        Under 18 years","731,327"
"        18 to 24 years","346,845"
"        15 to 44 years","1,363,388"
"        16 years and over","2,836,284"
"        18 years and over","2,737,636"
"        21 years and over","2,585,902"
"        60 years and over","843,829"
"        62 years and over","756,251"
"        65 years and over","629,621"
"        75 years and over","271,990"
"    SUMMARY INDICATORS",""
"        Median age (years)","40.1"
"        Sex ratio (males per 100 females)","91.1"
"        Age dependency ratio","64.6"
"        Old-age dependency ratio","29.9"
"        Child dependency ratio","34.7"
"    PERCENT ALLOCATED",""
"        Sex","(X)"
"        Age","(X)"
